country,province,region,municipality,name,website,medium,originalContent,releaseFrequency,commercialPublisher,publisher,individualOrOrganisation,contentType,contentArea,contentQuality
Nederland,Noord-Brabant,West-Brabant,Bernheze,IVN Natuureducatie,https://www.ivn.nl/nieuws/,Site vereniging,YES,WEEKLY,YES,Vereniging Instituur voor Natuureducatie en duurzaamheid ,ORGANIZATION,MIX,Bernheze,LOW
Nederland,Noord-Brabant,Midden-Brabant,Midden-Brabant,Kempen TV,#WAARDE!,Omroep,YES,WEEKLY,NO,Stichting Streekomroep de Kempen,ORGANIZATION,MIX,Streek Kempen,LOW
Nederland,Noord-Brabant,Midden-Brabant,Midden-Brabant,PC55,#WAARDE!,Krant,MIX,WEEKLY,YES,PC55,ORGANIZATION,SERVICE,Bladel & Gemeente Eersel & Gemeente Reusel-De Mierde,HIGH
Nederland,Noord-Brabant,Midden-Brabant,Midden-Brabant,indebuurt,#WAARDE!,Nieuwssite,MIX,DAILY,YES,DPG Media,ORGANIZATION,MIX,Tilburg e.o.,HIGH
Nederland,Noord-Brabant,Midden-Brabant,Midden-Brabant,Ons Weekblad,#WAARDE!,Krant,MIX,WEEKLY,YES,Uitgeverij E.M. de Jong,ORGANIZATION,OTHER,,LOW
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,Omroep Tilburg,https://www.omroeptilburg.nl/,Omroep,YES,DAILY,NO,Omroep Tilburg,ORGANIZATION,JOURNALISM,"Tilburg, Berkel-Enschot, Udenhout, Biezenmortel",HIGH
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,tilburg.nieuws.nl,http://tilburg.nieuws.nl/,Nieuwssite,NO,DAILY,YES,Nort Groep B.V.,ORGANIZATION,MIX,Tilburg,MEDIUM
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,tilburgers.nl,https://www.tilburgers.nl/,Nieuwssite,YES,DAILY,NO,tilburgers.nl ,ORGANIZATION,MIX,Tilburg,LOW
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,Stadsnieuws Tilburg,https://www.tilburgers.nl/tag/stadsnieuws/,Krant,YES,WEEKLY,YES,Uitgeverij Em. de Jong,ORGANIZATION,MIX,Tilburg,MEDIUM
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,Wijkkrant Noord,https://wijkkrantnoord.nl/,Krant,YES,UNSURE,NO,Wijkkrant Noord,ORGANIZATION,MIX,Tilburg-Noord,LOW
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,tilburg.com,https://tilburg.com/,Nieuwssite,YES,DAILY,YES,tilburg.com ,ORGANIZATION,SERVICE,Tilburg,MEDIUM
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,Univers magazine ,https://universonline.nl/,Nieuwssite,YES,WEEKLY,NO,Tilburg University,ORGANIZATION,MIX,Tilburg studenten,HIGH
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,EyDaily,https://eydaily.nl/,Nieuwssite,YES,DAILY,NO,Fontys Journalistiek,ORGANIZATION,JOURNALISM,Landelijk,MEDIUM
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,Heel Tilburg In Een Groep,https://www.facebook.com/groups/heeltilburgineengroep/,Facebookpagina,YES,DAILY,NO,heeltilburg.com,INDIVIDUAL,ENTERTAINMENT,Tilburg,LOW
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,Alle Tilburgse Herinneringen In Een Groep,https://www.facebook.com/groups/alletilburgseherinneringenineengroep,Facebookpagina,YES,DAILY,NO,heeltilburg.com,INDIVIDUAL,ENTERTAINMENT,Tilburg,LOW
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,Heel Reeshof in een groep!,https://www.facebook.com/groups/822827504402846,Facebookpagina,YES,DAILY,NO,Arnout Stomphorst / Patrick Lemmens,INDIVIDUAL,MIX,Reeshof,MEDIUM
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,tilburg.nl,http://tilburg.nl/,Gemeentesite,YES,DAILY,NO,Gemeente Tilburg,ORGANIZATION,SERVICE,Gemeente Tilburg,HIGH
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,Dorpsraad Berkel-Enschot,https://dorpsraadberkelenschot.nl/nieuws,Dorpsraad,MIX,MONTHLY,NO,Dorpsraad Berkel-Enschot,ORGANIZATION,SERVICE,Berkel-Enschot,MEDIUM
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,Udenhout-centraal,https://udenhout-centraal.nl/,Nieuwssite,NO,WEEKLY,YES,Udenhout-Centraal,ORGANIZATION,SERVICE,Udenhout,LOW
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,WIJ West,#WAARDE!,Site stichting,YES,WEEKLY,NO,Stichting WIJ West,ORGANIZATION,SERVICE,Tilburg,MEDIUM
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,Armhoefse Akkers,#WAARDE!,Krant,MIX,UNSURE,NO,Buurtraad Armhoefse Akkers,ORGANIZATION,MIX,"Armhoefse Akkers, Moerenburg, Hoogvenne en Tivoli",MEDIUM
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,De Noordhoek,#WAARDE!,Krant,YES,UNSURE,YES,Uitgeverij E.M. de Jong,ORGANIZATION,JOURNALISM,Noordhoek,HIGH
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,Wijkraad Reeshof,#WAARDE!,Facebookpagina,YES,WEEKLY,NO,Wijkraad Reeshof,ORGANIZATION,SERVICE,Reeshof,LOW
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,Wijkraad Zorgvlied,#WAARDE!,Krant,YES,UNSURE,NO,Wijkraad Zorgvlied,ORGANIZATION,MIX,Zorgvlied,MEDIUM
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,Theater De Nieuwe Vorst,https://denieuwevorst.nl/nieuws,Theatersite,MIX,WEEKLY,NO,De Nieuwe Vorst (stichting),ORGANIZATION,SERVICE,Tilburg,MEDIUM
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,Factorium Cultuurmakers,https://www.instagram.com/factoriumcultuurmakers/,Instagram-pagina,MIX,WEEKLY,NO,Stichting Factorium Cultuurmakers,ORGANIZATION,SERVICE,Tilburg,MEDIUM
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,013 Poppodium,https://www.instagram.com/013poppodium/,Poppodium,YES,DAILY,YES,Poppodium 013,ORGANIZATION,SERVICE,Tilburg en landelijk,HIGH
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,PaRaDox Tilburg,https://www.instagram.com/paradoxtilburg/,Poppodium,YES,UNSURE,UNSURE,PaRaDox Tilburg,ORGANIZATION,SERVICE,Tilburg en landelijk,MEDIUM
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,Tilborgse meense van vruuger,https://www.facebook.com/groups/tilburgsemensenvanvroeger,Facebookpagina,YES,DAILY,NO,Peter Peijnenborg & Ronald van Esch,INDIVIDUAL,ENTERTAINMENT,Tilburg,LOW
Nederland,Noord-Brabant,Midden-Brabant,Tilburg,LocHal,https://www.facebook.com/lochal013,Facebookpagina,MIX,DAILY,NO,LocHal,ORGANIZATION,SERVICE,Tilburg,MEDIUM
